date,y,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1.3,-1.7635489042739199,,,,,,,,,,,,,,,,,,,,
1,-1.7,-2.200804078694601,-1.5739849448153642,,,,,,,,,,,,,,,,,,,
2,-2.0,-2.466623433967268,-1.7435883590463384,-1.9138991206281382,,,,,,,,,,,,,,,,,,
3,-1.8,-2.533264925362221,-1.753797630968669,-1.9500606723501153,-2.066439988356326,,,,,,,,,,,,,,,,,
4,-2.0,-2.4957247637780555,-1.6830668885550932,-1.8945022423187994,-2.028677065704718,-1.6685211181429773,,,,,,,,,,,,,,,,
5,-0.4,,-1.2306457188529134,-1.4508249043076058,-1.5953626755706118,-1.1800721958230442,-1.628006689902213,,,,,,,,,,,,,,,
6,4.3,,,0.1268111213566574,-0.023821709560658322,0.42462762883816807,-0.09240909678306886,1.5734226334711647,,,,,,,,,,,,,,
7,9.8,,,,1.1400068601738265,1.6079833741125167,1.0503964595445154,2.974884488214915,6.669314334024602,,,,,,,,,,,,,
8,12.1,,,,,2.6227014528592525,2.0411231393539513,4.119311977201789,8.39157427643223,12.671069500398684,,,,,,,,,,,,
9,13.4,,,,,,2.657632582110875,4.826538799039535,9.42609769143111,14.380563305710638,13.593841071745665,,,,,,,,,,,
10,14.3,,,,,,,5.485917141895198,10.286960954153267,15.637680865856717,14.7220759378621,14.455890410623219,,,,,,,,,,
11,15.6,,,,,,,,10.9957931947276,16.578876039853878,15.586586692577429,15.277383068876,15.064801385167483,,,,,,,,,
12,14.9,,,,,,,,,16.538764192588573,15.498683966031752,15.163916471660174,14.91837651016886,15.644790728414343,,,,,,,,
13,14.8,,,,,,,,,,15.630798544784918,15.280746066768526,15.016021723145801,15.853956431861015,14.84372343636359,,,,,,,
14,14.8,,,,,,,,,,,15.573831710478533,15.297931350701848,16.201121890366384,15.039175007331897,14.979843826871733,,,,,,
15,13.2,,,,,,,,,,,,14.875397659019246,15.815473076140638,14.561991686468332,14.493658731450449,14.250006732790595,,,,,
16,12.8,,,,,,,,,,,,,15.31666177094874,14.0092840437654,13.935736318736607,13.655291070384967,12.229721117836187,,,,
17,9.8,,,,,,,,,,,,,,12.46179079898195,12.385160971434287,12.083823078535344,10.4363095575154,11.210802405065873,,,
18,5.3,,,,,,,,,,,,,,,10.98116729798555,10.667737534126587,8.890767887186442,9.783774615852773,7.8594955617833175,,
19,3.8,,,,,,,,,,,,,,,,9.498122925787532,7.64281979206933,8.604125547026708,6.3820163554045255,2.9229978421421245,
20,2.8,,,,,,,,,,,,,,,,,7.114983016995691,8.115822491322378,5.721114686942274,1.7366306425379012,2.9218667075071574
21,1.6,,,,,,,,,,,,,,,,,,7.635068642315691,5.137444473449036,0.848420146234775,2.212632408821027
22,1.0,,,,,,,,,,,,,,,,,,,4.168438439904445,-0.295377451787492,1.1762895019974848
23,0.4,,,,,,,,,,,,,,,,,,,,-0.6565344239304015,0.8759940296176104
24,-0.2,,,,,,,,,,,,,,,,,,,,,0.626224458708918
